"id","const"
"0","Borrador"
"1","Creada"
"10","Por aceptar"
"11","En proceso"
"20","En pausa"
"30","Por aprobar"
"50","Aprobada"
"90","Cancelada"
"91","Rechazada"
"99","Archivado"
